SR01A-PC-S1D-01:SETI
SR04A-PC-S1D-07:SETI
SR05A-PC-S1D-01:SETI
SR08A-PC-S1D-07:SETI
SR09A-PC-S1D-01:SETI
SR12A-PC-S1D-07:SETI
SR13A-PC-S1D-01:SETI
SR16A-PC-S1D-07:SETI
SR17A-PC-S1D-01:SETI
SR20A-PC-S1D-07:SETI
SR21A-PC-S1D-01:SETI
SR24A-PC-S1D-07:SETI
