SR01A-PC-S2C-06:SETI
SR04A-PC-S2C-02:SETI
SR05A-PC-S2C-06:SETI
SR08A-PC-S2C-02:SETI
SR09A-PC-S2C-06:SETI
SR12A-PC-S2C-02:SETI
SR13A-PC-S2C-06:SETI
SR16A-PC-S2C-02:SETI
SR17A-PC-S2C-06:SETI
SR20A-PC-S2C-02:SETI
SR21A-PC-S2C-06:SETI
SR24A-PC-S2C-02:SETI
