SR01A-PC-S1C-07:SETI
SR04A-PC-S1C-01:SETI
SR05A-PC-S1C-07:SETI
SR08A-PC-S1C-01:SETI
SR09A-PC-S1C-07:SETI
SR12A-PC-S1C-01:SETI
SR13A-PC-S1C-07:SETI
SR16A-PC-S1C-01:SETI
SR17A-PC-S1C-07:SETI
SR20A-PC-S1C-01:SETI
SR21A-PC-S1C-07:SETI
SR24A-PC-S1C-01:SETI
