SR01A-PC-S2D-02:SETI
SR04A-PC-S2D-06:SETI
SR05A-PC-S2D-02:SETI
SR08A-PC-S2D-06:SETI
SR09A-PC-S2D-02:SETI
SR12A-PC-S2D-06:SETI
SR13A-PC-S2D-02:SETI
SR16A-PC-S2D-06:SETI
SR17A-PC-S2D-02:SETI
SR20A-PC-S2D-06:SETI
SR21A-PC-S2D-02:SETI
SR24A-PC-S2D-06:SETI
